00010 a              a 0 0100
11100 b              b 1 0011
01010 c              c 0 0101
01101 d              d 0 1011
01000 e              e 0 0001
10010 f              f 1 0100
10100 g              g 1 0010
01110 h              h 0 0111
01100 i              i 0 0011
10111 j              j 1 1110
10110 k              k 1 0110
00111 l              l 0 1110
01001 m              m 0 1001
00011 n              n 0 1100
00001 o              o 0 1000
11000 p              p 1 0001
11110 q              q 1 0111
01111 r              r 0 1111
00110 s              s 0 0110
00100 t              t 0 0010
01011 u              u 0 1101
10011 v              v 1 1100
10001 w              w 1 1000
11111 x              x 1 1111
00101 y              y 0 1010
11101 z              z 1 1011
40000 <SHIFT>  <SHIFT> 4 0000
41000 <BACKSPACE>      4 0001
40100 <DEL>      <DEL> 4 0010
40010 <TAB>      <TAB> 4 0100
40001 <CTRL>    <CTRL> 4 1000
41100 <ALT>      <ALT> 4 0011
40110 <HOME>    <HOME> 4 0110
40011 <END>      <END> 4 1100
41111 <ESC>
41110 <PAGEUP>
40111 <PGDOWN>
41101 <INSERT>

20000 <ENTER>  <ENTER> 2 0000
21000 .              . 2 0001
20100 '              ' 2 0010
20010 ,              , 2 0100
20001 -              - 2 1000
21100 >              > 2 0011
20110 {              { 2 0110
20011 }              } 2 1100
21111 _              _ 2 1111
21110 ;              ; 2 0111
20111 ?              ? 2 1110
21101 \              \ 2 1011
21011 "              " 2 1101
21010 =              = 2 0101
21001 :              : 2 1001
20101 /              / 2 1010
30000 0              0 3 0000
30001 1              1 3 1000
30010 2              2 3 0100
30011 3              3 3 1100
30100 4              4 3 0010
30101 5              5 3 1010
30110 6              6 3 0110
30111 7              7 3 1110
31000 8              8 3 0001
31001 9              9 3 1001
31100 ]              ] 3 0011
31111 [              [ 3 1111
31110 +              + 3 0111
31101 ~              ~ 3 1011
31011 <              < 3 1101
31010 |              | 3 0101

